nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
tigeaux,28975.66,24,TIGEAUX
tigery,28271.27,43,TIGERY
tilly,29541.17,38,TILLY
torcy,25332.47,88,TORCY
torfou,32132.6,11,TORFOU
touquin,27893.05,53,TOUQUIN
tournan en brie,28288.04,92,TOURNAN EN BRIE
tourtouse,19725.29,32,TOURTOUSE
tousson,28054.03,14,TOUSSON
toussus le noble,37266.97,19,TOUSSUS LE NOBLE
trappes,21367.26,102,TRAPPES
tremblay en france,23287.63,159,TREMBLAY EN FRANCE
tremoulet,19424.88,12,TREMOULET
treuzy levelay,27560.4,33,TREUZY LEVELAY
triel sur seine,31424.79,137,TRIEL SUR SEINE
trilbardou,25530.69,21,TRILBARDOU
trilport,26375.5,64,TRILPORT
trocy en multien,26438.06,11,TROCY EN MULTIEN
unzent,19713.76,7,UNZENT
ury,28877.77,27,URY
us,28544.69,33,US
ussy sur marne,26944.96,35,USSY SUR MARNE
vaires sur marne,29027.82,69,VAIRES SUR MARNE
valence en brie,25463.32,25,VALENCE EN BRIE
valenton,19672.02,51,VALENTON
vallangoujard,31630.06,32,VALLANGOUJARD
valmondois,30434.22,35,VALMONDOIS
valpuiseaux,27961.5,43,VALPUISEAUX
vanves,33190.65,39,VANVES
vanville,26331.04,16,VANVILLE
varennes jarcy,31657.41,64,VARENNES JARCY
varennes sur seine,21829.57,69,VARENNES SUR SEINE
varreddes,27173.04,42,VARREDDES
vaucourtois,27008.26,14,VAUCOURTOIS
vaucresson,48527.06,59,VAUCRESSON
vaudherland,22814.25,2,VAUDHERLAND
vaudoy en brie,26626.65,39,VAUDOY EN BRIE
vaugrigneuse,29701.94,43,VAUGRIGNEUSE
vauhallan,36488.79,36,VAUHALLAN
vaujours,24269.45,42,VAUJOURS
vaureal,28190.54,86,VAUREAL
vaux le penil,27738.57,115,VAUX LE PENIL
vaux sur lunain,23719.99,14,VAUX SUR LUNAIN
vaux sur seine,31863.8,108,VAUX SUR SEINE
vayres sur essonne,27172.72,28,VAYRES SUR ESSONNE
velizy villacoublay,32313.88,72,VELIZY VILLACOUBLAY
vemars,27873.59,30,VEMARS
vendrest,25601.17,24,VENDREST
verdelot,25314.31,86,VERDELOT
verneuil l etang,24873.89,45,VERNEUIL L ETANG
verneuil sur seine,33000.59,97,VERNEUIL SUR SEINE
vernou la celle sur seine,26232.62,95,VERNOU LA CELLE SUR SEINE
vernouillet,34119.83,100,VERNOUILLET
verrieres le buisson,37038.43,132,VERRIERES LE BUISSON
versailles,35926.3,264,VERSAILLES
vert,31208.84,29,VERT
vert le grand,29569.84,39,VERT LE GRAND
vert le petit,28050.43,45,VERT LE PETIT
vert st denis,26511.41,87,VERT ST DENIS
vetheuil,28918.91,42,VETHEUIL
viarmes,26730.32,91,VIARMES
vicq,34794.99,27,VICQ
videlles,28870.93,39,VIDELLES
vieille eglise en yvelines,35569.22,31,VIEILLE EGLISE EN YVELINES
vienne en arthies,30082.73,30,VIENNE EN ARTHIES
vieux champagne,25441.31,15,VIEUX CHAMPAGNE
vignely,28852.35,11,VIGNELY
vigneux sur seine,23814.8,134,VIGNEUX SUR SEINE
vigny,29314.04,28,VIGNY
villabe,25275.75,55,VILLABE
villaines sous bois,29143.57,17,VILLAINES SOUS BOIS
ville d avray,41938.47,44,VILLE D AVRAY
ville st jacques,26476.26,27,VILLE ST JACQUES
villebeon,25306.78,39,VILLEBEON
villebon sur yvette,29026.72,86,VILLEBON SUR YVETTE
villecerf,25848.87,29,VILLECERF
villeconin,30194.69,48,VILLECONIN
villecresnes,30064.27,108,VILLECRESNES
villejuif,24348.54,122,VILLEJUIF
villejust,28747.99,48,VILLEJUST
villemarechal,26264.88,73,VILLEMARECHAL
villemareuil,28243.46,21,VILLEMAREUIL
villemer,27183.87,53,VILLEMER
villemoisson sur orge,30753.54,53,VILLEMOISSON SUR ORGE
villemomble,25594.17,105,VILLEMOMBLE
villenauxe la petite,23686.04,38,VILLENAUXE LA PETITE
villeneuve du pareage,24732.42,44,VILLENEUVE DU PAREAGE
villeneuve la garenne,22201.46,48,VILLENEUVE LA GARENNE
villeneuve le comte,28621.24,39,VILLENEUVE LE COMTE
villeneuve le roi,23079.7,116,VILLENEUVE LE ROI
villeneuve les bordes,25336.3,39,VILLENEUVE LES BORDES
villeneuve sous dammartin,23223.42,13,VILLENEUVE SOUS DAMMARTIN
villeneuve st denis,29264.95,26,VILLENEUVE ST DENIS
villeneuve st georges,19020.92,118,VILLENEUVE ST GEORGES
villeneuve sur auvers,29787.01,25,VILLENEUVE SUR AUVERS
villeneuve sur bellot,22598.92,66,VILLENEUVE SUR BELLOT
villennes sur seine,40973.39,100,VILLENNES SUR SEINE
villenoy,26249.15,41,VILLENOY
villeparisis,23695.84,113,VILLEPARISIS
villepinte,20999.2,140,VILLEPINTE
villepreux,35260.17,79,VILLEPREUX
villeron,26742.98,21,VILLERON
villeroy,28152.23,13,VILLEROY
villers en arthies,28494.64,37,VILLERS EN ARTHIES
villetaneuse,18323.01,44,VILLETANEUSE
villette,31970.39,29,VILLETTE
villevaude,28173.82,74,VILLEVAUDE
villiers adam,29275.7,29,VILLIERS ADAM
villiers en biere,29107.53,22,VILLIERS EN BIERE
villiers le bacle,35651.34,24,VILLIERS LE BACLE
villiers le bel,18761.49,84,VILLIERS LE BEL
villiers le mahieu,30962.44,31,VILLIERS LE MAHIEU
villiers le sec,27928.61,5,VILLIERS LE SEC
villiers sous grez,30428.31,32,VILLIERS SOUS GREZ
villiers st frederic,33251.85,66,VILLIERS ST FREDERIC
villiers st georges,24508.93,49,VILLIERS ST GEORGES
villiers sur marne,27299.89,98,VILLIERS SUR MARNE
villiers sur morin,27590.22,52,VILLIERS SUR MORIN
villiers sur orge,29152.3,35,VILLIERS SUR ORGE
villiers sur seine,24953.35,23,VILLIERS SUR SEINE
villuis,25676.65,17,VILLUIS
vimpelles,24290.98,29,VIMPELLES
vinantes,25338.17,11,VINANTES
vincennes,34347.22,42,VINCENNES
vincy manoeuvre,25658.15,10,VINCY MANOEUVRE
viroflay,38359.61,54,VIROFLAY
viry chatillon,24899.61,132,VIRY CHATILLON
vitry sur seine,23438.94,231,VITRY SUR SEINE
voinsles,28741.33,38,VOINSLES
voisenon,29193.13,23,VOISENON
voisins le bretonneux,38331.82,78,VOISINS LE BRETONNEUX
voulangis,29041.04,64,VOULANGIS
voulton,27410.53,31,VOULTON
voulx,23659.22,57,VOULX
vulaines les provins,28159.15,9,VULAINES LES PROVINS
vulaines sur seine,30337.31,59,VULAINES SUR SEINE
wissous,29948.18,67,WISSOUS
wy dit joli village,32961.78,24,WY DIT JOLI VILLAGE
yebles,26565.4,29,YEBLES
yerres,29659.45,174,YERRES
